ResponseId,Age,EdLevel,Country
1,Under 18 years old,Primary School,USA
2,35-44 years old,Bachelor’s Degree,United Kingdom
3,45-54 years old,Master’s Degree,United Kingdom
4,18-24 years old,Uncompleted Studies,Canada
5,18-24 years old,Secondary School,Norway
6,Under 18 years old,Primary School,USA
7,35-44 years old,Professional Degree,USA
8,18-24 years old,Secondary School,Uzbekistan
9,45-54 years old,Professional Degree,United Kingdom
10,35-44 years old,Master’s Degree,Serbia
11,35-44 years old,Bachelor’s Degree,USA
12,45-54 years old,Professional Degree,Poland
13,35-44 years old,Bachelor’s Degree,USA
14,35-44 years old,Bachelor’s Degree,Philippines
15,25-34 years old,Master’s Degree,Bulgaria
16,45-54 years old,Uncompleted Studies,Switzerland
17,Under 18 years old,Primary School,Canada
18,18-24 years old,Bachelor’s Degree,India
19,25-34 years old,Uncompleted Studies,Germany
20,35-44 years old,Uncompleted Studies,United Kingdom
21,25-34 years old,Master’s Degree,Germany
22,35-44 years old,Master’s Degree,Germany
23,45-54 years old,Bachelor’s Degree,Ireland
24,55-64 years old,Bachelor’s Degree,USA
25,35-44 years old,Bachelor’s Degree,Italy
26,45-54 years old,Associate Degree,USA
27,35-44 years old,Bachelor’s Degree,Italy
28,25-34 years old,Professional Degree,Ukraine
29,25-34 years old,Secondary School,United Kingdom
30,25-34 years old,Bachelor’s Degree,Philippines
31,Prefer not to say,Other,Australia
32,25-34 years old,Bachelor’s Degree,USA
33,25-34 years old,Associate Degree,Brazil
34,35-44 years old,Bachelor’s Degree,Japan
35,Under 18 years old,Secondary School,USA
36,25-34 years old,Uncompleted Studies,USA
37,18-24 years old,Secondary School,Austria
38,25-34 years old,Professional Degree,Iran
39,35-44 years old,Professional Degree,France
40,Under 18 years old,Secondary School,Saudi Arabia
41,25-34 years old,Bachelor’s Degree,Brazil
42,35-44 years old,Master’s Degree,Italy
43,35-44 years old,Bachelor’s Degree,Ireland
44,35-44 years old,Master’s Degree,Austria
45,25-34 years old,Master’s Degree,Romania
46,25-34 years old,Bachelor’s Degree,United Kingdom
47,35-44 years old,Master’s Degree,USA
48,45-54 years old,Professional Degree,USA
49,65 years or older,Uncompleted Studies,Germany
50,25-34 years old,Uncompleted Studies,Germany
51,18-24 years old,Uncompleted Studies,United Kingdom
52,18-24 years old,Secondary School,USA
53,18-24 years old,Secondary School,Germany
54,25-34 years old,Master’s Degree,Bulgaria
55,25-34 years old,Uncompleted Studies,United Kingdom
56,55-64 years old,Professional Degree,Germany
57,Under 18 years old,Secondary School,Italy
58,25-34 years old,Uncompleted Studies,Turkey
59,18-24 years old,Uncompleted Studies,India
60,25-34 years old,Master’s Degree,Ireland
61,18-24 years old,Secondary School,Nepal
62,55-64 years old,Master’s Degree,Switzerland
63,18-24 years old,Secondary School,Algeria
64,25-34 years old,Bachelor’s Degree,Bulgaria
65,45-54 years old,Bachelor’s Degree,Sweden
66,18-24 years old,Bachelor’s Degree,Iran
67,18-24 years old,Master’s Degree,Switzerland
68,35-44 years old,Master’s Degree,United Kingdom
69,35-44 years old,Master’s Degree,Netherlands
70,25-34 years old,Master’s Degree,Croatia
71,35-44 years old,Uncompleted Studies,Australia
72,45-54 years old,Bachelor’s Degree,Sweden
73,18-24 years old,Secondary School,Pakistan
74,35-44 years old,Professional Degree,Czech Republic
75,55-64 years old,Master’s Degree,Switzerland
76,25-34 years old,Uncompleted Studies,India
77,45-54 years old,Master’s Degree,USA
78,18-24 years old,Uncompleted Studies,Republic of North Macedonia
79,45-54 years old,Bachelor’s Degree,USA
80,45-54 years old,Bachelor’s Degree,USA
81,35-44 years old,Master’s Degree,Germany
82,25-34 years old,Master’s Degree,Finland
83,35-44 years old,Master’s Degree,Slovakia
84,25-34 years old,Uncompleted Studies,Poland
85,25-34 years old,Bachelor’s Degree,USA
86,18-24 years old,Secondary School,USA
87,45-54 years old,Secondary School,United Kingdom
88,25-34 years old,Bachelor’s Degree,Germany
89,35-44 years old,Master’s Degree,United Kingdom
90,25-34 years old,Master’s Degree,India
91,18-24 years old,Uncompleted Studies,Russian Federation
92,Under 18 years old,Primary School,Poland
93,55-64 years old,Bachelor’s Degree,USA
94,25-34 years old,Bachelor’s Degree,Ireland
95,Under 18 years old,Uncompleted Studies,Iran
96,25-34 years old,Bachelor’s Degree,Greece
97,25-34 years old,Bachelor’s Degree,India
98,55-64 years old,Professional Degree,USA
99,18-24 years old,Secondary School,Italy
100,Under 18 years old,Primary School,Israel
101,25-34 years old,Secondary School,United Kingdom
102,25-34 years old,Master’s Degree,Poland
103,25-34 years old,Bachelor’s Degree,Italy
104,35-44 years old,Master’s Degree,France
105,45-54 years old,Uncompleted Studies,Germany
106,25-34 years old,Bachelor’s Degree,India
107,Under 18 years old,Other,Italy
108,25-34 years old,Bachelor’s Degree,USA
109,45-54 years old,Bachelor’s Degree,Belgium
110,18-24 years old,Uncompleted Studies,Australia
111,18-24 years old,Master’s Degree,Greece
112,18-24 years old,Uncompleted Studies,United Kingdom
113,45-54 years old,Bachelor’s Degree,Ireland
114,45-54 years old,Master’s Degree,USA
115,25-34 years old,Associate Degree,Turkey
116,35-44 years old,Bachelor’s Degree,USA
117,35-44 years old,Master’s Degree,Germany
118,18-24 years old,Uncompleted Studies,Austria
119,25-34 years old,Bachelor’s Degree,Sweden
120,35-44 years old,Bachelor’s Degree,Mexico
121,25-34 years old,Bachelor’s Degree,United Republic of Tanzania
122,45-54 years old,Master’s Degree,Ireland
123,Under 18 years old,Secondary School,USA
124,25-34 years old,Bachelor’s Degree,Germany
125,35-44 years old,Bachelor’s Degree,Japan
126,25-34 years old,Master’s Degree,Austria
127,25-34 years old,Master’s Degree,India
128,25-34 years old,Master’s Degree,USA
129,35-44 years old,Bachelor’s Degree,USA
130,35-44 years old,Secondary School,Sweden
131,35-44 years old,Master’s Degree,Ukraine
132,25-34 years old,Bachelor’s Degree,Germany
133,18-24 years old,Master’s Degree,Ukraine
134,18-24 years old,Uncompleted Studies,United Kingdom
135,65 years or older,Master’s Degree,United Kingdom
136,18-24 years old,Bachelor’s Degree,Hungary
137,Under 18 years old,Primary School,USA
138,35-44 years old,Bachelor’s Degree,Argentina
139,18-24 years old,Primary School,Sweden
140,Under 18 years old,Secondary School,Pakistan
141,25-34 years old,Bachelor’s Degree,India
142,25-34 years old,Uncompleted Studies,Italy
143,45-54 years old,Bachelor’s Degree,India
144,18-24 years old,Uncompleted Studies,Australia
145,25-34 years old,Bachelor’s Degree,USA
146,25-34 years old,Bachelor’s Degree,USA
147,35-44 years old,Bachelor’s Degree,United Kingdom
148,35-44 years old,Bachelor’s Degree,USA
149,25-34 years old,Bachelor’s Degree,USA
150,35-44 years old,Uncompleted Studies,Croatia
151,25-34 years old,Bachelor’s Degree,Turkey
152,35-44 years old,Uncompleted Studies,Finland
153,35-44 years old,Bachelor’s Degree,USA
154,25-34 years old,Master’s Degree,United Kingdom
155,25-34 years old,Master’s Degree,United Kingdom
156,25-34 years old,Master’s Degree,Portugal
157,55-64 years old,Other,Netherlands
158,18-24 years old,Associate Degree,USA
159,25-34 years old,Bachelor’s Degree,Sri Lanka
160,18-24 years old,Secondary School,USA
161,18-24 years old,Bachelor’s Degree,Netherlands
162,25-34 years old,Master’s Degree,Latvia
163,25-34 years old,Bachelor’s Degree,Sri Lanka
164,35-44 years old,Master’s Degree,Portugal
165,25-34 years old,Bachelor’s Degree,India
166,35-44 years old,Master’s Degree,USA
167,18-24 years old,Bachelor’s Degree,United Kingdom
168,18-24 years old,Uncompleted Studies,China
169,25-34 years old,Bachelor’s Degree,Singapore
170,45-54 years old,Master’s Degree,China
171,18-24 years old,Bachelor’s Degree,Lebanon
172,35-44 years old,Master’s Degree,USA
173,18-24 years old,Uncompleted Studies,Romania
174,18-24 years old,Bachelor’s Degree,Philippines
175,18-24 years old,Uncompleted Studies,United Kingdom
176,25-34 years old,Master’s Degree,USA
177,35-44 years old,Bachelor’s Degree,USA
178,25-34 years old,Bachelor’s Degree,Spain
179,55-64 years old,Secondary School,Germany
180,18-24 years old,Uncompleted Studies,United Kingdom
181,25-34 years old,Master’s Degree,Portugal
182,18-24 years old,Uncompleted Studies,Poland
183,25-34 years old,Bachelor’s Degree,USA
184,45-54 years old,Uncompleted Studies,Canada
185,35-44 years old,Master’s Degree,Hungary
186,35-44 years old,Master’s Degree,France
187,25-34 years old,Bachelor’s Degree,Russian Federation
188,35-44 years old,Uncompleted Studies,USA
